BOTJ,NASDAQ,"BANK OF THE JAMES FINANCIAL GROUP, INC.",FINANCE,MAJOR BANKS
OZRK,NASDAQ,BANK OF THE OZARKS,FINANCE,MAJOR BANKS
BFIN,NASDAQ,BANKFINANCIAL CORPORATION,FINANCE,SAVINGS INSTITUTIONS
BWFG,NASDAQ,"BANKWELL FINANCIAL GROUP, INC.",FINANCE,MAJOR BANKS
BANR,NASDAQ,BANNER CORPORATION,FINANCE,MAJOR BANKS
BZUN,NASDAQ,BAOZUN INC.,CONSUMER SERVICES,CATALOG/SPECIALTY DISTRIBUTION
DFVL,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DFVS,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DLBL,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DLBS,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DTUL,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DTUS,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DTYL,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
DTYS,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
FLAT,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
STPP,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
TAPR,NASDAQ,BARCLAYS PLC,FINANCE,COMMERCIAL BANKS
BHAC,NASDAQ,BARINGTON/HILCO ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BHACR,NASDAQ,BARINGTON/HILCO ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BHACU,NASDAQ,BARINGTON/HILCO ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BHACW,NASDAQ,BARINGTON/HILCO ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BBSI,NASDAQ,"BARRETT BUSINESS SERVICES, INC.",TECHNOLOGY,PROFESSIONAL SERVICES
BSET,NASDAQ,"BASSETT FURNITURE INDUSTRIES, INCORPORATED",CONSUMER DURABLES,HOME FURNISHINGS
BCML,NASDAQ,BAYCOM CORP,FINANCE,MAJOR BANKS
BCBP,NASDAQ,"BCB BANCORP, INC. (NJ)",FINANCE,SAVINGS INSTITUTIONS
BECN,NASDAQ,"BEACON ROOFING SUPPLY, INC.",CONSUMER SERVICES,RETAIL: BUILDING MATERIALS
BBGI,NASDAQ,"BEASLEY BROADCAST GROUP, INC.",CONSUMER SERVICES,BROADCASTING
BBBY,NASDAQ,BED BATH & BEYOND INC.,CONSUMER SERVICES,HOME FURNISHINGS
BGNE,NASDAQ,"BEIGENE, LTD.",HEALTH CARE,MAJOR PHARMACEUTICALS
BELFA,NASDAQ,BEL FUSE INC.,CAPITAL GOODS,ELECTRICAL PRODUCTS
BELFB,NASDAQ,BEL FUSE INC.,CAPITAL GOODS,ELECTRICAL PRODUCTS
BLPH,NASDAQ,"BELLEROPHON THERAPEUTICS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BLCM,NASDAQ,"BELLICUM PHARMACEUTICALS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BNCL,NASDAQ,"BENEFICIAL BANCORP, INC.",FINANCE,SAVINGS INSTITUTIONS
BNFT,NASDAQ,"BENEFITFOCUS, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BNTC,NASDAQ,BENITEC BIOPHARMA LIMITED,HEALTH CARE,MAJOR PHARMACEUTICALS
BNTCW,NASDAQ,BENITEC BIOPHARMA LIMITED,HEALTH CARE,MAJOR PHARMACEUTICALS
BYSI,NASDAQ,"BEYONDSPRING, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BGCP,NASDAQ,"BGC PARTNERS, INC.",FINANCE,INVESTMENT BANKERS/BROKERS/SERVICE
BGFV,NASDAQ,BIG 5 SPORTING GOODS CORPORATION,CONSUMER SERVICES,OTHER SPECIALTY STORES
BRPA,NASDAQ,BIG ROCK PARTNERS ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRPAR,NASDAQ,BIG ROCK PARTNERS ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRPAU,NASDAQ,BIG ROCK PARTNERS ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRPAW,NASDAQ,BIG ROCK PARTNERS ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BILI,NASDAQ,BILIBILI INC.,TECHNOLOGY,EDP SERVICES
BASI,NASDAQ,"BIOANALYTICAL SYSTEMS, INC.",HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH
ORPN,NASDAQ,BIOBLAST PHARMA LTD.,HEALTH CARE,MAJOR PHARMACEUTICALS
BIOC,NASDAQ,"BIOCEPT, INC.",HEALTH CARE,MEDICAL SPECIALITIES
BCRX,NASDAQ,"BIOCRYST PHARMACEUTICALS, INC.",HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BDSI,NASDAQ,"BIODELIVERY SCIENCES INTERNATIONAL, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BFRA,NASDAQ,BIOFRONTERA AG,HEALTH CARE,MAJOR PHARMACEUTICALS
BIIB,NASDAQ,BIOGEN INC.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BHTG,NASDAQ,"BIOHITECH GLOBAL, INC.",CONSUMER SERVICES,OTHER CONSUMER SERVICES
BKYI,NASDAQ,"BIO-KEY INTERNATIONAL, INC.",TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT
BIOL,NASDAQ,"BIOLASE, INC.",HEALTH CARE,MEDICAL/DENTAL INSTRUMENTS
BLFS,NASDAQ,"BIOLIFE SOLUTIONS, INC.",HEALTH CARE,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
BLRX,NASDAQ,BIOLINERX LTD.,HEALTH CARE,MAJOR PHARMACEUTICALS
BMRN,NASDAQ,BIOMARIN PHARMACEUTICAL INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
BMRA,NASDAQ,"BIOMERICA, INC.",HEALTH CARE,MEDICAL/DENTAL INSTRUMENTS
BVXV,NASDAQ,BIONDVAX PHARMACEUTICALS LTD.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BVXVW,NASDAQ,BIONDVAX PHARMACEUTICALS LTD.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BPTH,NASDAQ,"BIO-PATH HOLDINGS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BIOS,NASDAQ,"BIOSCRIP, INC.",HEALTH CARE,MEDICAL/NURSING SERVICES
BSTC,NASDAQ,BIOSPECIFICS TECHNOLOGIES CORP,HEALTH CARE,MAJOR PHARMACEUTICALS
BSPM,NASDAQ,"BIOSTAR PHARMACEUTICALS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
TECH,NASDAQ,BIO-TECHNE CORP,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BEAT,NASDAQ,"BIOTELEMETRY, INC.",HEALTH CARE,MEDICAL SPECIALITIES
